Order_ID,Date,Product_Category,Amount,Region,Customer_Type,Status
1001,2024-01-01,Electronics,12500,North,Member,Completed
1002,2024-01-01,Home & Garden,4500,South,General,Pending
1003,2024-01-02,Clothing,1200,East,Member,Completed
1004,2024-01-02,Food & Beverage,850,West,General,Completed
1005,2024-01-03,Electronics,25000,Central,Member,Cancelled
1006,2024-01-03,Home & Garden,3200,North,General,Completed
1007,2024-01-04,Clothing,2100,South,Member,Completed
1008,2024-01-04,Food & Beverage,450,East,General,Pending
1009,2024-01-05,Electronics,15800,West,Member,Completed
1010,2024-01-05,Home & Garden,1200,Central,General,Completed
1011,2024-01-06,Clothing,3500,North,Member,Completed
1012,2024-01-06,Food & Beverage,920,South,General,Completed
1013,2024-01-07,Electronics,42000,East,Member,Completed
1014,2024-01-07,Home & Garden,5600,West,General,Pending
1015,2024-01-08,Clothing,1800,Central,Member,Completed
1016,2024-01-08,Food & Beverage,300,North,General,Completed
1017,2024-01-09,Electronics,8900,South,Member,Completed
1018,2024-01-09,Home & Garden,7200,East,General,Completed
1019,2024-01-10,Clothing,2500,West,Member,Cancelled
1020,2024-01-10,Food & Beverage,1500,Central,General,Completed
1021,2024-01-11,Electronics,11000,North,Member,Completed
1022,2024-01-11,Home & Garden,2300,South,General,Completed
1023,2024-01-12,Clothing,4200,East,Member,Pending
1024,2024-01-12,Food & Beverage,670,West,General,Completed
1025,2024-01-13,Electronics,19500,Central,Member,Completed
1026,2024-01-13,Home & Garden,890,North,General,Completed
1027,2024-01-14,Clothing,3300,South,Member,Completed
1028,2024-01-14,Food & Beverage,2100,East,General,Completed
1029,2024-01-15,Electronics,5400,West,Member,Completed
1030,2024-01-15,Home & Garden,1500,Central,General,Pending
1031,2024-01-16,Clothing,2900,North,Member,Completed
1032,2024-01-16,Food & Beverage,1100,South,General,Completed
1033,2024-01-17,Electronics,31000,East,Member,Completed
1034,2024-01-17,Home & Garden,4200,West,General,Completed
1035,2024-01-18,Clothing,1200,Central,Member,Cancelled
1036,2024-01-18,Food & Beverage,550,North,General,Completed
1037,2024-01-19,Electronics,14500,South,Member,Completed
1038,2024-01-19,Home & Garden,6300,East,General,Completed
1039,2024-01-20,Clothing,2700,West,Member,Pending
1040,2024-01-20,Food & Beverage,1800,Central,General,Completed
1041,2024-01-21,Electronics,9800,North,Member,Completed
1042,2024-01-21,Home & Garden,3400,South,General,Completed
1043,2024-01-22,Clothing,4500,East,Member,Completed
1044,2024-01-22,Food & Beverage,250,West,General,Completed
1045,2024-01-23,Electronics,21000,Central,Member,Completed
1046,2024-01-23,Home & Garden,1250,North,General,Pending
1047,2024-01-24,Clothing,3600,South,Member,Completed
